"genus","class","fc1_p","fc2_p","fc3_p","between_mean1","within_mean1","family_mean1","total_number_between","total_number_family","total_number_within","number_1_between","number_1_family","number_1_within","freq_between","freq_family","freq_within","fc1_p_adjust","fc2_p_adjust","fc3_p_adjust","fc1","fc2"
"Anaerotruncus","Stool",0,0.988534246564417,0,0.965385003945518,0.754232873147267,0.981771593974183,96571,4826,3714,87243,4409,1826,0.903407855360305,0.913593037712391,0.491653204092623,0,1,0,0.211152130798251,0
"Asteroleplasma","Stool",3.3727503209066e-17,NA,NA,0.754829571046373,0.521643998064057,NA,208,NA,353,26,NA,7,0.125,NA,0.0198300283286119,5.69151616652989e-17,NA,NA,0.233185572982316,NA
"Bacteroides","Stool",0,0.92970161908739,0,0.90350705488266,0.588207531787703,0.907341655580023,394505,21461,11384,40245,1416,129,0.102013916173433,0.0659801500396067,0.0113316936050597,0,1,0,0.315299523094957,0
"Barnesiella","Stool",0,0.996205277374236,0,0.957416552150665,0.529939863388375,0.968695172451172,112016,4657,7080,97775,4142,678,0.872866376231967,0.889413785698948,0.0957627118644068,0,1,0,0.42747668876229,0
"Beduinibacterium","Stool",5.60442100572987e-171,1,2.50862053015131e-178,0.901743814277696,0.72756032007197,0.982173912617504,35183,1172,3266,24996,1113,1273,0.710456754682659,0.949658703071672,0.389773423147581,1.68132630171896e-170,1,6.33532981343298e-178,0.174183494205726,0
"Bifidobacterium","Stool",4.78193431339571e-10,0.873203103088008,2.26144647565185e-11,0.959898630715713,0.728732955409447,0.956393155515962,1230,76,72,1036,69,25,0.842276422764228,0.907894736842105,0.347222222222222,6.95219680947531e-10,1,3.27141286283617e-11,0.231165675306266,0.0151643413110805
"Bilophila","Stool",3.31378514376879e-133,3.33161808005528e-23,2.76882329405606e-98,0.943905299211797,0.69660473043608,0.919472558780242,52452,6042,1537,46906,5016,737,0.89426523297491,0.830188679245283,0.479505530253741,8.94721988817572e-133,2.36386235203922e-22,6.34699493560543e-98,0.247300568775717,0.0987977526801134
"Blautia","Stool",0,5.86352708623304e-193,0,0.93172689042497,0.758468149704763,0.91103734329545,390037,21356,11347,139281,5019,1189,0.357096890807795,0.235015920584379,0.104785405834141,0,4.36832767924362e-191,0,0.173258740720207,0.119414160829736
"Butyricicoccus","Stool",0,0.755506989852285,0,0.963755155827383,0.774680270881276,0.961247093027237,175487,8498,6051,158003,7687,3118,0.900368688278904,0.904565780183573,0.515286729466204,0,1,0,0.189074884946107,0.0132649177645203
"Butyricimonas","Stool",0,0.766655396626241,0,0.982928038998848,0.745670800763777,0.978340373726606,121575,5071,6740,112994,4738,2974,0.929418054698746,0.934332478801025,0.441246290801187,0,1,0,0.237257238235071,0.0193362499975501
